"Path","SoundId","Volume"
"Music.Intro","rbxassetid://117311429031651","0,35"
"Music.Loop","rbxassetid://136345765095808","0,35"
"Music.Outro","rbxassetid://77820284893951","0,35"
"Music.Trials.birdhunt","rbxassetid://71143122243344","0,24"
"Music.Trials.minefield","rbxassetid://132499516846518","0,45"
"SFX.Click","rbxassetid://71275573444924","0,45"
"SFX.ClickAlt","rbxassetid://132164304600477","0,45"
"SFX.Submit","rbxassetid://78750521109999","0,55"
"SFX.SubmitAlt","rbxassetid://105043211211780","0,55"
"SFX.Reject","rbxassetid://114448879961050","0,7"
"SFX.Hover","rbxassetid://71275573444924","0,16"
"SFX.AccessDenied","rbxassetid://114448879961050","0,7"
"SFX.AccessGranted","rbxassetid://81955326079132","0,7"
"SFX.StandClear","rbxassetid://127661892376075","0,7"
"SFX.Warning","rbxassetid://93861370808858","0,65"
"SFX.Confirm","rbxassetid://130292722664147","0,6"
"SFX.Count5","rbxassetid://117149096126658","0,75"
"SFX.Count4","rbxassetid://88984010858075","0,75"
"SFX.Count3","rbxassetid://125929365204512","0,75"
"SFX.Count2","rbxassetid://90490572986710","0,75"
"SFX.Count1","rbxassetid://132909621965246","0,75"
"SFX.ImpactBody","rbxassetid://83335185987012","0,9"
"SFX.Clicks.Click1","rbxassetid://136898832673181","0,6"
"SFX.Clicks.Click2","rbxassetid://136745293101522","0,6"
"SFX.Clicks.Click3","rbxassetid://115728252091834","0,6"
"SFX.Clicks.Click4","rbxassetid://111557351602976","0,6"
"SFX.Clicks.Click5","rbxassetid://132683279963887","0,6"
"SFX.Submits.Submit1","rbxassetid://79171960825561","0,6"
"SFX.Submits.Submit2","rbxassetid://111991322032307","0,6"
"SFX.Submits.Submit3","rbxassetid://109725832591895","0,6"
"SFX.MineExplosions.Explode1","rbxassetid://86475991650982","0,9"
"SFX.MineExplosions.Explode2","rbxassetid://76737678985387","0,9"
"SFX.MineExplosions.Explode3","rbxassetid://71471343684752","0,9"
"SFX.MineExplosions.Explode4","rbxassetid://75789945781051","0,9"
"SFX.Blood.Blood1","rbxassetid://127560368697616","0,85"
"SFX.Blood.Blood2","rbxassetid://86853838840785","0,85"
"SFX.SniperFire.Primary","rbxassetid://118803023612410","1,45"
"SFX.SniperReload.Primary","rbxassetid://83110281478101","1,7"
"SFX.BulletRicochet.Primary","rbxassetid://83668417079973","1,1"
